SEARCH,GRAMMAR AND PROSODY,ACCENTUATION,CLASSICAL PRONUNCIATION,ECCLESIASTICAL PRONUNCIATION
accommodatus," āccōmmŏdātus, a, um ",ac-com-mo-dá-tus,aːkkoːmmɔdaːtʊs,akkommɔdatus
accommodo," āccōmmŏdo, as, are ",ac-cóm-mo-do,aːkkoːmmɔdo,akkommɔdo
accommodus," āccōmmŏdus, a, um ",ac-cóm-mo-dus,aːkkoːmmɔdʊs,akkommɔdus
accubo," āccŭbo, as, are, bui, bitum ",ác-cu-bo,aːkkʊbo,akkubo
accudo," āccūdo, accūdis, ere ",ac-cú-do,aːkkʊːdo,akkudo
accumbo," āccūmbo, is, ere, cubui, cubitum ",ac-cúm-bo,aːkkʊːmbo,akkumbo
accurro," āccūrro, is, ere, curri, cursum ",ac-cúr-ro,aːkkʊːrro,akkurro
accusatio," āccūsātĭō̆, onis, f. ",ac-cu-sá-ti-o,aːkkʊːsaːtɪoː̆,akkusatsjo
accusator," āccūsātŏr, oris, m. ",ac-cu-sá-tor,aːkkʊːsaːtɔr,akkusatɔr
accuso," āccūso, as, are, avi, atum",ac-cú-so,aːkkʊːso,akkuso
acer," ācĕr, cris, cre ",a-cer,aːkɛr,atʃɛr
acer," ăcĕr, ĕris, n. ",a-cer,akɛr,atʃɛr
acerbe," ăcērbē, adv. ",a-cér-be,akeːrbeː,atʃerbe
acerbitas," ăcērbĭtās, atis, f. ",a-cér-bi-tas,akeːrbɪtaːs,atʃerbitas
acerbus," ăcērbus, a, um ",a-cér-bus,akeːrbʊs,atʃerbus
acervus," ăcērvus, i, m. ",a-cér-vus,akeːrwʊs,atʃervus
Aceste," Acēstē, es, f. ",A-cés-te,akeːsteː,atʃeste
Acestes," Ăcēstēs, ae, m. ",A-cés-tes,akeːsteːs,atʃestes
acetum," ăcētŭm, i, n. ",a-cé-tum,akeːtʊm,atʃetum
Achaia," Ăchāĭa, ae, f. ",A-chá-i-a,akʰaːɪa,akaia
Achaius," Ăchāĭus, a, um ",A-chá-i-us,akʰaːɪʊs,akaius
Achaia," Ăchāia, ae, f. ",A-chá-i-a ,akʰaːɪa,akaia
Acheron," Ăchĕrōn, ontis, m. ",Á-che-ron,akʰɛroːn,akɛron
Acheros," Ăchĕros, i, m. ",Á-che-ros,akʰɛros,akɛros
Achilles," Ăchīllēs, is, m. ",A-chíl-les,akʰiːlleːs,akilles
acies," ăcĭēs, ei, f. ",á-ci-es,akɪeːs,atʃes
acquiesco," ācquĭēsco, is, ere, quieui, quietum ",ac-qui-és-co,aːkkʷɪeːsko,akkwjesko
acquiro," ācquīro, is, ere, i, situm ",ac-quí-ro,aːkkʷiːro,akkwiro
acriter," ācrĭtĕr, adv. ",á-cri-ter,aːkrɪtɛr,akritɛr
actio," āctĭō̆, onis, f. ",ác-ti-o,aːktɪoː̆,aktsjo
actor," āctŏr, oris, m. ",ac-tor,aːktɔr,aktɔr
actum," āctŭm, i, n. ",ac-tum,aːktʊm,aktum
actus," āctus, us, m. ",ac-tus,aːktʊs,aktus
actutum," āctūtŭm, adv. ",ac-tú-tum,aːktʊːtʊm,aktutum
acuo," ăcŭo, is, ere, ui, ūtum ",á-cu-o,akwo,akuo
acutus," ăcūtus, a, um ",a-cú-tus,akʊːtʊs,akutus
acutus," ăcūtus, us, m. ",a-cú-tus,akʊːtʊs,akutus
ad," ăd, prep. + acc. ",ad,ad,ad
adaequo," ădāequo, as, are ",a-dǽ-quo,adae̯kʷo,adɛkwo
addico," āddīco, is, ere, dixi, dictum ",ad-dí-co,aːddiːko,addiko
addo," āddo, is, ere, didi, ditum ",ad-do,aːddo,addo
adduco," āddūco, is, ere, duxi, ductum ",ad-dú-co,aːddʊːko,adduko
adeo," ădĕō, adv. ",á-de-o,adɛoː,adɛo
adeo," ădĕo, is, ire, ii, itum ",á-de-o,adɛo,adɛo
adfecto," ādfēcto, as, are ",ad-féc-to,aːdfeːkto,adfekto
adfectus," ādfēctus, a, um ",ad-féc-tus,aːdfeːktʊs,adfektus
adfectus," ādfēctŭs, us, m. ",ad-féc-tus,aːdfeːktʊs,adfektus
adfero," ādfĕro, fers, ferre, attuli, adlatum ",ád-fe-ro,aːdfɛro,adfɛro
adficio," ādfĭcĭo, is, ere, feci, fectum ",ad-fí-ci-o,aːdfɪkɪo,adfitʃo
adfigo," ādfīgo, is, ere, fixi, fixum ",ad-fí-go,aːdfiːgo,adfigo
adfinitas," ādfīnĭtās, atis, f. ",ad-fí-ni-tas,aːdfiːnɪtaːs,adfinitas
adfirmo," ādfīrmo, as, are ",ad-fír-mo,aːdfiːrmo,adfirmo
adfligo," ādflīgo, is, ere, flixi, flictum ",ad-flí-go,aːdfliːgo,adfligo
adfor," ādfŏr, aris, ari, atus sum ",ad-for,aːdfɔr,adfɔr
adgredior," ādgrĕdĭŏr, eris, i, gressus sum ",ad-gré-di-or,aːdgrɛdɪɔr,adgrɛdjɔr
adhaereo," ădhāerĕo, as, ere, haesi, haesum ",a-dhǽ-re-o,adhae̯rɛo,adɛrɛo
Adherbal," Adhērbăl, alis, m. ",A-dhér-bal,adheːrbal,aderbal
adhibeo," ădhĭbĕo, es, ere, ui, itum ",a-dhí-be-o,adhɪbɛo,adibɛo
adhortor," ădhōrtŏr, aris, ari ",a-dhór-tor,adhoːrtɔr,adortɔr
adhuc," ădhūc, ădhoc, adv. ",a-dhuc,adhʊːk,aduk
adicio," ādĭcĭo, is, ere, ieci, iectum ",a-dí-ci-o,aːdɪkɪo,aditʃo
adigo," ădĭgo, is, ere, egi, actum ",á-di-go,adɪgo,adigo
adimo," ădĭmo, is, ere, emi, emptum ",á-di-mo,adɪmo,adimo
adipiscor," ădĭpīscŏr, eris, i, adeptus sum ",a-di-pís-cor,adɪpiːskɔr,adipiskɔr
aditus," ădĭtus, us, m. ",á-di-tus,adɪtʊs,aditus
adiumentum," ādiūmēntŭm, i, n. ",ad-ju-mén-tum,aːdjʊːmeːntʊm,adjumentum
adiungo," ādiūngo, is, ere, iunxi, iunctum ",ad-jún-go,aːdjʊːngo,adjungo
adiuto," ādiūto, as, are ",ad-jú-to,aːdjʊːto,adjuto
adiutor," ādiūtŏr, adiūtāris, adiūtāri, adiutatus sum",ad-jú-tor,aːdjʊːtɔr,adjutɔr
adiutor," ādiūtŏr, oris, m. ",ad-jú-tor,aːdjʊːtɔr,adjutɔr
adiutorium," ādiūtōrĭŭm, i, n. ",ad-ju-tó-ri-um,aːdjʊːtoːrɪʊm,adjutorium
adiuvo," ādiŭvo, as, are, ui, iutum ",ád-ju-vo,aːdjʊwo,adjuvo
adlevo," ādlēvo, adlēvas, adlēvāre ",a-dlé-vo,aːdleːwo,adlevo
adlevo,"ādlĕvo, adlĕvas, adlevavi, adlevatum, adlĕvāre",á-dle-vo,aːdlewo,adlɛvo
adlicio," ādlĭcĭo, is, ere, lexi, lectum ",a-dlí-ci-o,aːdlɪkɪo,adlitʃo
adligo," ādlĭgo, as, are ",á-dli-go,aːdlɪgo,adligo
adloquor," ādlŏquŏr, eris, i, locutus sum ",á-dlo-quor,aːdlɔkʷɔr,adlɔkwɔr
administer," ādmĭnīstĕr, tri, m. ",ad-mi-nís-ter,aːdmɪniːstɛr,administɛr
administro," ādmĭnīstro, as, are ",ad-mi-nís-tro,aːdmɪniːstro,administro
admirabilis," ādmīrābĭlĭs, e ",ad-mi-rá-bi-lis,aːdmiːraːbɪlɪs,admirabilis
admiratio," ādmīrātĭō̆, onis, f. ",ad-mi-rá-ti-o,aːdmiːraːtɪoː̆,admiratsjo
admiror," ādmīrŏr, aris, ari, atus sum ",ad-mí-ror,aːdmiːrɔr,admirɔr
admisceo," ādmīscĕo, es, ere, scui, mixtum ",ad-mí-sce-o,aːdmiːskɛo,admiʃɛo
admitto," ādmītto, is, ere, misi, missum ",ad-mít-to,aːdmiːtto,admitto
admodum," ādmŏdŭm, adv. ",ád-mo-dum,aːdmɔdʊm,admɔdum
admoneo," ādmŏnĕo, es, ere, monui, monitum ",ad-mó-ne-o,aːdmɔnɛo,admɔnɛo
admonitio," ādmŏnĭtĭo, ōnis, f. ",ad-mo-ní-ti-o,aːdmɔnɪtɪo,admɔnitsjo
admoveo," ādmŏvĕo, es, ere, moui, motum ",ad-mó-ve-o,aːdmɔwɛo,admɔvɛo
adnitor," ādnītŏr, eris, i, nisus  sum ",ad-ní-tor,aːdniːtɔr,adnitɔr
adnoto," ādnŏto, ānnŏto, as, are ",ád-no-to,aːdnɔto,adnɔto
adnuo," ādnŭo, is, ere, nui, nutum ",ád-nu-o,aːdnwo,adnuo
adolescens," ădŏlēscēns, entis ",a-do-lé-scens,adɔleːskeːns,adɔleʃens
adolescentulus," ădŏlēscēntŭlus, i, m. ",a-do-le-scén-tu-lus,adɔleːskeːntʊlʊs,adɔleʃentulus
adolesco," ădŏlēsco, is, ere, leui, adultum ",a-do-lés-co,adɔleːsko,adɔlesko
adoptio," ădōptĭō̆, onis, f. ",a-dóp-ti-o,adoːptɪoː̆,adoptsjo
adopto," ădōpto, as, are ",a-dóp-to,adoːpto,adopto
adorio," ădŏrĭo, is, ire, cf. adorior ",a-dó-ri-o,adɔrɪo,adɔrjo
adorior," ădŏrĭŏr, iris, iri, adortus sum ",a-dó-ri-or,adɔrɪɔr,adɔrjɔr
adorno," ădōrno, as, are ",a-dór-no,adoːrno,adorno
adoro," ădōro, as, are ",a-dó-ro,adoːro,adoro
adpeto," ādpĕto, is, ere, petivi , petitum ",ád-pe-to,aːdpɛto,adpɛto
adrigo," ādrĭgo, āre ",á-dri-go,aːdrɪgo,adrigo
adrigo," ādrĭgo, is, ere, rexi, rectum ",á-dri-go,aːdrɪgo,adrigo
adripio," ādrĭpĭo,  is, ere, ripui, reptum ",a-drí-pi-o,aːdrɪpɪo,adripjo
adrogans," ādrŏgāns, antis ",á-dro-gans,aːdrɔgaːns,adrɔgans
adrogantia," ādrŏgāntĭa, ae, f. ",a-dro-gán-ti-a,aːdrɔgaːntɪa,adrɔgantsja
adrogo," ādrŏgo, as, are ",á-dro-go,aːdrɔgo,adrɔgo
adscribo," ādscrībo, is, ere, scripsi, scriptum ",ad-scrí-bo,aːdskriːbo,adskribo
adsensus," ādsēnsus, us, m. ",ad-sén-sus,aːdseːnsʊs,adsensus
adsentio," ādsēntĭo, is, ere, sensi, sensum ",ad-sén-ti-o,aːdseːntɪo,adsentsjo
adsentior," ādsēntĭŏr, iris, iri, sensus sum ",ad-sén-ti-or,aːdseːntɪɔr,adsentjɔr
adsequor," ādsĕquŏr, eris, i, secutus sum ",ád-se-quor,aːdsɛkʷɔr,adsɛkwɔr
adservo," ādsērvo, as, are ",ad-sér-vo,aːdseːrwo,adservo
adsideo," ādsĭdĕo, es, ere, sedi, sessum ",ad-sí-de-o,aːdsɪdɛo,adsidɛo
adsidue," ādsĭdŭē, adv. ",ad-sí-du-e,aːdsɪdweː,adsidue
adsiduitas," ādsĭdŭĭtās, atis, f. ",ad-si-dú-i-tas,aːdsɪdwɪtaːs,adsiduitas
adsiduus," ādsĭdŭus, a, um ",ad-sí-du-us,aːdsɪdwʊs,adsiduus
adsiduus," ādsĭdŭus, i, m. ",ad-sí-du-us,aːdsɪdwʊs,adsiduus
adsigno," ādsīgno, as, are ",ad-sí-gno,aːdsiːŋno,adsiɲo
adsimilo," ādsĭmĭlo, ādsĭmŭlo, as, are ",ad-sí-mi-lo,aːdsɪmɪlo,adsimilo
adsisto," ādsīsto, is, ere, stiti ",ad-sís-to,aːdsiːsto,adsisto
adsto," ādsto, as, are, stiti ",ads-to,aːdsto,adsto
adstringo," ādstrīngo, is, ere, strinxi, strictum ",ads-trín-go,aːdstriːngo,adstringo
adsuesco," ādsŭēsco, is, ere, eui, etum ",ad-su-és-co,aːdsweːsko,adsuesko
adsuetus," ādsŭētus, a, um ",ad-su-é-tus,aːdsweːtʊs,adsuetus
adsum," ādsŭm, es, esse, adfui ",ad-sum,aːdsʊm,adsum
adsumo," ādsūmo, is, ere, sumpsi, sumptum ",ad-sú-mo,aːdsʊːmo,adsumo
adsurgo," ādsūrgo, is, ere, surrexi, surrectum ",ad-súr-go,aːdsʊːrgo,adsurgo
adtendo," ādtēndo, is, ere, tendi, tentum ",ad-tén-do,aːdteːndo,adtendo
adtingo," ādtīngo, āttĭgo, is, ere, tigi, tactum ",ad-tín-go,aːdtiːngo,adtingo
adtollo," ādtōllo, is, ere ",ad-tól-lo,aːdtoːllo,adtollo
adtraho," ādtrăho, is, ere, traxi, tractum ",ád-tra-ho,aːdtraho,adtrao
adtribuo," ādtrĭbŭo, is, ere, tribui, tributum ",ad-trí-bu-o,aːdtrɪbwo,adtribuo
adulatio," ădūlātĭō̆, ionis, f. ",a-du-lá-ti-o,adʊːlaːtɪoː̆,adulatsjo
adulescentia," ădŭlēscēntĭa, ădŏlēscēntĭa, ae, f. ",a-du-le-scén-ti-a,adʊleːskeːntɪa,aduleʃentsja
adulo," ădūlo, as, are ",a-dú-lo,adʊːlo,adulo
adulor," ădūlŏr, aris, ari ",a-dú-lor,adʊːlɔr,adulɔr
adulter," ădūltĕr, era, erum ",a-dúl-ter,adʊːltɛr,adultɛr
adulter," ădūltĕr, eri, m. ",a-dúl-ter,adʊːltɛr,adultɛr
adulterium," ădūltĕrĭŭm, i, n. ",a-dul-té-ri-um,adʊːltɛrɪʊm,adultɛrium
adultus," ădūltus, a, um ",a-dúl-tus,adʊːltʊs,adultus
aduro," ădūro, is, ere, ussi, ustum ",a-dú-ro,adʊːro,aduro
adveho," ādvĕho, ārvĕho, is, ere, uexi, uectum ",ád-ve-ho,aːdwɛho,advɛo
advena," ādvĕna, ae, m. ",ád-ve-na,aːdwɛna,advɛna
advenio," ādvĕnĭo, is, ire, ueni, uentum ",ad-vé-ni-o,aːdwɛnɪo,advɛnjo
advento," ādvēnto, as, are ",ad-vén-to,aːdweːnto,advento
adventus," ādvēntus, us, m. ",ad-vén-tus,aːdweːntʊs,adventus
adversarius," ādvērsārĭus, a, um ",ad-ver-sá-ri-us,aːdweːrsaːrɪʊs,adversarius
adversarius," ādvērsārĭus, ii, m. ",ad-ver-sá-ri-us,aːdweːrsaːrɪʊs,adversarius
adverso," ādvērso, āre ",ad-vér-so,aːdweːrso,adverso
adversor," ādvērsŏr, aris, ari ",ad-vér-sor,aːdweːrsɔr,adversɔr
adversum," ādvērsŭm, cf. adversus ",ad-vér-sum,aːdweːrsʊm,adversum
adversum," ādvērsum, i, n. ",ad-vér-sum,aːdweːrsʊm,adversum
adversus," ādvērsus, i, m. ",ad-vér-sus,aːdweːrsʊs,adversus
adversus," ādvērsus, a, um ",ad-vér-sus,aːdweːrsʊs,adversus
adversus," ādvērsŭs, prep. + acc.",ad-vér-sus,aːdweːrsʊs,adversus
adverto," ādvērto, is, ere, uerti, uersum ",ad-vér-to,aːdweːrto,adverto
advocatio," ādvŏcātĭō̆, onis, f. ",ad-vo-cá-ti-o,aːdwɔkaːtɪoː̆,advɔkatsjo
advocatus," ādvŏcātus, a, um ",ad-vo-cá-tus,aːdwɔkaːtʊs,advɔkatus
advocatus," ādvŏcātus, i, m. ",ad-vo-cá-tus,aːdwɔkaːtʊs,advɔkatus
advoco," ādvŏco, as, are ",ád-vo-co,aːdwɔko,advɔko
advolo," ādvŏlo, as, are ",ád-vo-lo,aːdwɔlo,advɔlo
aedes," āedēs, is, f. ",æ-des,ae̯deːs,ɛdes
aedes," āedēs, ium, f. ",æ-des,ae̯deːs,ɛdes
aedificium," āedĭfĭcĭŭm, ii, n. ",æ-di-fí-ci-um,ae̯dɪfɪkɪʊm,ɛdifitʃum
aedifico," āedĭfĭco, as, are ",æ-dí-fi-co,ae̯dɪfɪko,ɛdifiko
aedilis," āedīlĭs, is, m. ",æ-dí-lis,ae̯diːlɪs,ɛdilis
aedilitas," āedīlĭtās, atis, f. ",æ-dí-li-tas,ae̯diːlɪtaːs,ɛdilitas
aedis," āedĭs, is, f. ",æ-dis,ae̯dɪs,ɛdis
aeger," āegĕr, gra, grum ",æ-ger,ae̯gɛr,ɛdʒɛr
aegre," āegrē, adv. ",æ-gre,ae̯greː,ɛgre
aegreo," āegrĕo, es, ēre, intr. ",ǽ-gre-o,ae̯grɛo,ɛgrɛo
aegris," āegrĭs, e ",æ-gris,ae̯grɪs,ɛgris
aegroto," āegrōto, as, are ",æ-gró-to,ae̯groːto,ɛgroto
aegrotus," āegrōtus, a, um ",æ-gró-tus,ae̯groːtʊs,ɛgrotus
Aegyptus," Āegȳptus, i, f. ",Æ-gýp-tus,ae̯gʏːptʊs,ɛdʒiptus
Aemilius," Āemĭlĭus, i, m.",Æ-mí-li-us,ae̯mɪlɪʊs,ɛmilius
aemulatio," āemŭlātĭō̆, ionis, f. ",æ-mu-lá-ti-o,ae̯mʊlaːtɪoː̆,ɛmulatsjo
aemulo," āemŭlo, āre ",ǽ-mu-lo,ae̯mʊlo,ɛmulo
aemulor," āemŭlŏr, aris, ari ",ǽ-mu-lor,ae̯mʊlɔr,ɛmulɔr
aemulus," āemŭlus, a, um ",ǽ-mu-lus,ae̯mʊlʊs,ɛmulus
Aenea," Āenēa, ae, f. ",Æ-né-a ,ae̯neːa,ɛnea
Aeneas," Āenēās, ae, m. ",Æ-né-as ,ae̯neːaːs,ɛneas
aeneus," āenĕus, a, um ",ǽ-ne-us,ae̯nɛʊs,ɛnɛus
aenum," ăēnum, i, n. ",a-é-num,aɛnʊm,aɛnum
aenus," ăēnus, a, um ",a-é-nus,aɛnʊs,aɛnus
aequalis," āequālĭs, e ",æ-quá-lis,ae̯kʷaːlɪs,ɛkwalis
aequaliter," āequālĭtĕr, adv. ",æ-quá-li-ter,ae̯kʷaːlɪtɛr,ɛkwalitɛr
aeque," āequē, adv. ",æ-que,ae̯kʷeː,ɛkwe
Aequi," Āequi, orum, m. ",Æ-qui,ae̯kʷɪ,ɛkwi
aequitas," āequĭtās, atis, f. ",ǽ-qui-tas,ae̯kʷɪtaːs,ɛkwitas
aequo," āequo, as, are ",æ-quo,ae̯kʷo,ɛkwo
aequor," āequŏr, oris, n. ",æ-quor,ae̯kʷɔr,ɛkwɔr
aequoreus," āequŏrĕus, a, um ",æ-quó-re-us,ae̯kʷɔrɛʊs,ɛkwɔrɛus
aequum," āequum, i, n. ",æ-quum,ae̯kʷʊm,ɛkwum
aequus," āequus, āecus, a, um ",æ-quus,ae̯kʷʊs,ɛkwus
aer," āēr, aeris, m. ",a-er,aɛr,aɛr
aerarium," āerārĭŭm, ii, n. ",æ-rá-ri-um,ae̯raːrɪʊm,ɛrarium
aerarius," āerārĭus, a, um ",æ-rá-ri-us,ae̯raːrɪʊs,ɛrarius
aerarius," āerārĭus, ii, m. ",æ-rá-ri-us,ae̯raːrɪʊs,ɛrarius
aerius," āĕrĭus, a, um ",a-é-ri-us,ae̯rɪʊs,ɛrius
aerumna," āerūmna, ae, f. ",æ-rúm-na,ae̯rʊːmna,ɛrumna
aes," ăēs, aeris, n. ",a-es,aɛs,aɛs
aestas," āestās, tatis, f. ",æs-tas,ae̯staːs,ɛstas
aestimatio," āestĭmātĭō̆, ionis, f. ",æs-ti-má-ti-o,ae̯stɪmaːtɪoː̆,ɛstimatsjo
aestimo," āestĭmo, as, are ",ǽs-ti-mo,ae̯stɪmo,ɛstimo
aestivus," āestīvus, a, um ",æs-tí-vus,ae̯stiːwʊs,ɛstivus
aestuo," āestŭo, as, are ",ǽs-tu-o,ae̯stwo,ɛstuo
aestus," āestus, us, m. ",æs-tus,ae̯stʊs,ɛstus
aetas," āetās, atis, f. ",æ-tas,ae̯taːs,ɛtas
aeternitas," āetērnĭtās, atis, f. ",æ-tér-ni-tas,ae̯teːrnɪtaːs,ɛternitas
aeternus," āetērnus, a, um ",æ-tér-nus,ae̯teːrnʊs,ɛternus
aether," āethēr, eris, m.",æ-ther,ae̯tʰeːr,ɛter
aetherius," āethĕrĭus, a, um ",æ-thé-ri-us,ae̯tʰɛrɪʊs,ɛtɛrius
Aetna," Āetna, ae, f. ",Æt-na,ae̯tna,ɛtna
Aetne," Āetnē, es, f. ",Æt-ne,ae̯tneː,ɛtne
aevos," āevos, i, m. ",æ-vos,ae̯wos,ɛvos
aevum," āevŭm, i, n. ",æ-vum,ae̯wʊm,ɛvum
affinis," āffīnĭs, e ",af-fí-nis,aːffiːnɪs,affinis
Afranius," Ā̆frānĭus, i, m. ",A-frá-ni-us,aː̆fraːnɪʊs,afranius
Africa," Ā̆frĭca, ae, f. ",Á-fri-ca,aː̆frɪka,afrika
Africanus," Ā̆frĭcānus, a, um ",A-fri-cá-nus,aː̆frɪkaːnʊs,afrikanus
africum," ā̆frĭcŭm, i, n. ",á-fri-cum,aː̆frɪkʊm,afrikum
Africus," Ā̆frĭcus, a, um ",Á-fri-cus,aː̆frɪkʊs,afrikus
Agamemnon," Ăgămēmnōn, onis, m. ",A-ga-mém-non,agameːmnoːn,agamemnon
age," ăgĕ, interi. ",a-ge,agɛ,adʒɛ
agedum," ăgĕdŭm, interi. ",á-ge-dum,agɛdʊm,adʒɛdum
ager," ăgĕr, agri, m. ",a-ger,agɛr,adʒɛr
agger," āggĕr, eris, m. ",ag-ger,aːggɛr,addʒɛr
aggredio," āggrĕdĭo, ĕre ",ag-gré-di-o,aːggrɛdɪo,aggrɛdjo
agito," ăgĭto, as, are ",á-gi-to,agɪto,adʒito
agmen," āgmĕn, inis, n. ",ag-men,aːgmɛn,agmɛn
agna," āgna, ae, f. ",a-gna,aːŋna,aɲa
agnos," āgnŏs, i, f. ",a-gnos,aːŋnɔs,aɲɔs
agnosco," āgnōsco, is, ere, noui, nitum ",a-gnós-co,aːŋnoːsko,aɲosko
agnus," āgnus, i, m. ",a-gnus,aːŋnʊs,aɲus
ago," ăgo, is, ere, egi, actum ",a-go,ago,ago
agraris," ā̆grārĭs, e ",a-grá-ris,aː̆graːrɪs,agraris
agrarius," ā̆grārĭus, a, um ",a-grá-ri-us,aː̆graːrɪʊs,agrarius
agrestis," ā̆grēstĭs, e ",a-grés-tis,aː̆greːstɪs,agrestis
agrestis," ā̆grēstĭs, is, m. ",a-grés-tis,aː̆greːstɪs,agrestis
agricola," ā̆grĭcŏla, ae, m. ",a-grí-co-la,aː̆grɪkɔla,agrikɔla
agrippa," Ā̆grīppa, ae, m. ",A-gríp-pa,aː̆griːppa,agrippa
Agrippina," Ā̆grīppīna, ae, f. ",A-grip-pí-na,aː̆griːppiːna,agrippina
ah," āh, interi. ",ah,aːh,a
Aiax," Āiāx, ācis, m.  ",A-jax,aːjaːks,ajaks
aio," āio, is, - ",a-jo,aːjo,ajo
ala," āla, ae, f. ",a-la,aːla,ala
alacer," ălăcĕr, cris, cre ",á-la-cer,alakɛr,alatʃɛr
alacritas," ălā̆crĭtās, atis, f. ",a-lá-cri-tas,alaː̆krɪtaːs,alakritas
Alba," ālba, ae, f. ",al-ba,aːlba,alba
Albani," Ālbāni, orum, m. ",Al-bá-ni,aːlbaːnɪ,albani
Albanum," Ālbānum, i, n. ",Al-bá-num,aːlbaːnʊm,albanum
Albanus," Ālbānus, a, um ",Al-bá-nus,aːlbaːnʊs,albanus
albo," ālbo, āre ",al-bo,aːlbo,albo
album," Ālbum, i, n. ",Al-bum,aːlbʊm,album
albus," ālbus, a, um ",al-bus,aːlbʊs,albus
Alcides," Ālcīdēs, ae, m. ",Al-cí-des ,aːlkiːdeːs,altʃides
Alcis," Ālcis, ĭdis, f. ",Al-cis,aːlkɪs,altʃis
